date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:44	114868/114868	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Jan%202025%2008:15:43%20GMT	https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon	C:/My%20Web%20Sites/new/mahaegram.co.in/GeneralPages/GrampanchayatForm864c.html	(from )
13:45:44	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jan%202025%2008:15:44%20GMT	https://mahaegram.co.in/robots.txt		(from )
13:45:45	19911/19911	---M--	200	added ('OK')	image/png	etag:%22b8874a3f94eed91:0%22	https://mahaegram.co.in/assets/img/favicon.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/favicon.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:45	26053/26053	---M--	200	added ('OK')	text/css	etag:%22edf297dd95eed91:0%22	https://mahaegram.co.in/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/vendor/aos/aos.css	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:46	191084/191084	---M--	200	added ('OK')	text/css	etag:%2281ee8fe695eed91:0%22	https://mahaegram.co.in/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:46	63666/63666	---M--	200	added ('OK')	text/css	etag:%22c8b11de95eed91:0%22	https://mahaegram.co.in/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:47	63235/63235	---M--	200	added ('OK')	text/css	etag:%2277bcebea95eed91:0%22	https://mahaegram.co.in/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/vendor/boxicons/css/boxicons.min.css	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:47	13775/13775	---M--	200	added ('OK')	text/css	etag:%22fe9bfec95eed91:0%22	https://mahaegram.co.in/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/vendor/glightbox/css/glightbox.min.css	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:47	13916/13916	---M--	200	added ('OK')	text/css	etag:%22668ad6df95eed91:0%22	https://mahaegram.co.in/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/vendor/swiper/swiper-bundle.min.css	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:48	44043/44043	---M--	200	added ('OK')	text/css	etag:%22b049223c94eed91:0%22	https://mahaegram.co.in/assets/css/style.css	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/css/style.css	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:49	282766/282766	---M--	200	added ('OK')	application/javascript	etag:%22df20bc5094eed91:0%22	https://mahaegram.co.in/assets/js/jquery-latest.js	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/js/jquery-latest.js	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
